지점ID,매점명,주소,전화번호,위도,경도
288582,대치학원가점,서울 강남구 도곡로77길 8 1층 101호,,37.4989059,127.0586591
288411,울산달동사거리점,"울산 남구 중앙로 158 101동 1층 101호(달동, 쁘띠팔레드 시티)",052-266-8899,35.5352541,129.3143173
288012,대전청사점,"대전 서구 둔산중로134번길 21 (둔산동, 만금프라자)",042-487-7779,36.3590263,127.3881258
288010,고성봉포점,강원특별자치도 고성군 토성면 봉포4길 14 1층,,38.2531759,128.5621232
287022,전남무안농협본점,전남 무안군 무안읍 무안중앙로 105 (교촌리),061-454-1581,34.9936532,126.4704749
286798,경남고성점,경남 고성군 고성읍 동외로 170 1층,,34.9763332,128.3262831
286778,포천이동점,경기 포천시 이동면 화동로 2112 (장암리),031-531-5413,38.0362522,127.3668932
286777,인천남동구청점,"인천 남동구 장승로 17 3동 103호, 104호(만수동, 창대장터상가)",070-4324-3929,37.4462381,126.7348671
286688,서초우성점,서울 서초구 사임당로 181 1층 101호,,37.4930451,127.0293404
286609,어린이대공원정문점,서울 광진구 능동로 237 1층(군자동),02-6949-6226,37.5513288,127.0761170
285684,광명센트럴아이파크점,"경기 광명시 광이로 49 상가동 101호(광명동, 광명센트럴아이파크)",070-4797-0771,37.4831872,126.8584917
285679,수지동천점,경기 용인시 수지구 동천로 39 코아프라자 1층,,37.3403812,127.0986127
285676,춘천강원대이룸관점,"강원특별자치도 춘천시 강원대학길 1 이룸관동 1층(효자동, 강원대학교)",033-256-5360,37.8684418,127.7438324
285550,울산유곡점,울산 중구 종가3길 20 1층 일부호(우아동3가),070-8680-1225,35.5606105,129.2966176
285543,전주대자인병원점,전북특별자치도 전주시 덕진구 견훤로 380 1층 일부호(우아동3가),063-242-0111,35.8451790,127.1534915
285537,전북사대부고점,전북특별자치도 전주시 덕진구 조경단로 105 1층 102호(금암동),,35.8436138,127.1384368
285529,삼성디스플레이아산2(A2)점,충남 아산시 탕정면 탕정로 380-2 A2공장동 1층 (삼성디스플레이 아산2캠퍼스 일반산업단지A1-2 (A2사무동 동편로비)),,36.8191965,127.0633012
285523,창원럭키반림점,"경남 창원시 성산구 반송로 107 제일반상가동 1층 3-1호(반림동, 럭키반림아파트)",055-266-3286,35.2381028,128.6680324
284198,광화문시대점,서울 종로구 사직로8길 42 102-1호,,37.5737740,126.9731379
284197,수원당수성산타워점,경기 수원시 권선구 당수로 124 성산타워 106호(당수동),031-406-9234,37.2852222,126.9430864
284196,용인동백이마트사거리점,"경기 용인시 기흥구 동백죽전대로 455-11 455-11, 1층 B236호",,37.2787224,127.1503137
284082,명지전문대점,서울 서대문구 가좌로 140 (홍은동),02-304-2291,37.5845680,126.9242004
284081,수원성빈센트병원점,경기 수원시 팔달구 중부대로 80 상가2동 1층 22호,070-4334-3900,37.2761724,127.0255808
283937,정선사북점,강원특별자치도 정선군 사북읍 사북중앙로 22 (사북리),033-592-1961,37.2267845,128.8171636
283936,거제한화오션남문점,경남 거제시 거제대로 3447-1 (아주동),,34.8674123,128.6932545
283935,전남무안청계농협점,"전남 무안군 청계면 영산로 1685 (도림리, 청계농협)",061-452-5605,34.9093130,126.4293945
283934,순천조례명성점,전남 순천시 조례신대길 37 1층 외 1필지,,34.9618195,127.5178154
283933,광주산수그린점,광주 동구 동계로 38 121동 지하 1층 18호,062-232-2111,35.153868,126.925692
282667,안산서울예대점,경기 안산시 단원구 예술대학로 161 제1층 제104호(고잔동),031-8042-4769,37.3312442,126.8387275
282662,대부도점,경기 안산시 단원구 대부황금로 1516-15,070-7799-3104,37.2879571,126.5768445
282660,전남담양터미널점,전남 담양군 담양읍 중앙로 24 1층,061-382-4438,35.3152696,126.9836747
282406,진해웅동로점,경남 창원시 진해구 웅동로 42-5 2층,055-546-4153,35.1243736,128.7819354
282170,파주운정역점,경기 파주시 운정역길 384-8 (야당동),,37.7249205,126.7678698
282159,광주비아호반점,"광주 광산구 비아로 185 1층 상가 102동 101호, 102호",062-952-0394,35.2239665,126.8245523
281466,안산시곡점,경기 안산시 상록구 감골1로 33 104호,,37.2879715,126.8517795
