지점명,주소
이천안흥점,"경기 이천시 구만리로 191  (안흥동, 이천 롯데캐슬 골드스카이) 롯데캐슬 1층 상가 102호"
강변역점,서울 광진구 구의동 587-62
파주운정산내점,경기 파주시 청암로17번길 59  (목동동)
대전송촌점,대전 대덕구 송촌북로16번길 44  (송촌동)
합정역점,"서울 마포구 합정동 413-13  1,2층"
부산명지점,"부산 강서구 명지국제8로10번길 38  (명지동) 1층 116,117호"
순천 신대점,"전남 순천시 해룡면 좌야로 150  (신대리, 중흥에코시티7단지) 711동 120호"
신구대점,경기 성남시 중원구 광명로 355  (금광동)
성남은행점,경기 성남시 중원구 산성대로 532  (은행동)
파주다율점,경기 파주시 청암로 75  (다율동) 상상메디컬프라자 109호
수원 권선점,경기 수원시 권선구 세권로 188  (권선동) 1층
동해터미널점,강원 동해시 항골길 94  (천곡동)
청주율량주성점,충북 청주시 청원구 주성로 295  (주성동)
홍대점,서울 마포구 독막로7길 60  (서교동)
인천 테크노밸리점,인천 부평구 주부토로 236  (갈산동)
구로 헤리움점,서울 구로구 중앙로 18  (고척동)  1층 106
세종새롬점,"세종특별자치시 새롬중앙로 59  (새롬동, 새롬빌딩)"
의정부 고산점,경기 의정부시 바대논길 104  (고산동)
대전가양보건대점,대전 동구 우암로326번길 16  (가양동)
소하2동점,"경기 광명시 오리로 346  (소하동, 행운드림프라자)  1층 112호"
전북대점,전북 전주시 덕진구 덕진동1가 664-6  원플러스 제1층 115호
금천 롯데캐슬점,"서울 금천구 시흥대로 315  (독산동, 금천롯데캐슬골드파크4차)"
구미역점,경북 구미시 원평동 129-15
보령점,충남 보령시 동대동 502-18
용인 보정점,"경기 용인시 기흥구 죽전로 53  (보정동, 야후빌딩)"
진주경상대점,경남 진주시 가좌길 17  (가좌동)
김포 사우점,"경기 김포시 사우중로 51  (사우동, 메가라인)"
동탄 반송점,"경기 화성시 동탄문화센터로 65  (반송동, 에이스타운)"
화정 로데오점,"경기 고양시 덕양구 화신로 263  (화정동, 브릿지타워(BRIDGE TOWER)) 113호"
광주 용산점,"광주 동구 용산3길 17  (용산동, 모아엘가 에듀파크) 109호"
거제고현점,경남 거제시 서문로 66  (고현동) 청암빌딩 101호
여주 오학점,경기 여주시 보뜰1길 2  (오학동)
여수 여천점,전남 여수시 망마로 55  (신기동)
김해대동점,경남 김해시 대동면 동남로 149  (조눌리)
군산 나운점,전북 군산시 나운동 95-2
대전둔산점,"대전 서구 둔산로 130  (둔산동, 대덕프라자) 1층 107호"
강진점,"전남 강진군 강진읍 중앙로 88  (평동리, 금호상가)"
수원 나혜석거리점,경기 수원시 팔달구 권광로196번길 24  (인계동)
창원귀산점,경남 창원시 성산구 삼귀로 379  (귀산동)
부산 남포점,부산 중구 광복로 30-1  (창선동2가)
구월 호텔점,"인천 남동구 선수촌공원로23번길 1  (구월동, 9월호텔)"
인천 주안점,인천 미추홀구 주안로 92  (주안동) 다동 101호
목포 용해점,전남 목포시 대양로 129  (용해동)
고양 화정점,"경기 고양시 덕양구 화중로 126  (화정동, 찬우물상가) 104호"
부산대점,부산 금정구 부산대학로49번길 38-1  (장전동)
삼성전자 기흥점,"경기 용인시 기흥구 삼성로 1  (농서동, 삼성전자(주)기흥캠퍼스)"
구리 수택점,"경기 구리시 이문안로 106  (수택동, 럭키아파트 단지내 상가)"
광교 호수공원점,"경기 수원시 영통구 법조로 38  (하동, 광교 더샵 레이크파크)"
광양 성황점,전남 광양시 성황7길 21  (성황동) 1층중 1층 일부(성황동)
광양 마동점,전남 광양시 사동로 204  (마동)
호매실 금곡점,"경기 수원시 권선구 금곡로212번길 14  (금곡동, 거성빌딩)"
장성 제니스점,경북 포항시 북구 새천년대로1249번길 26  (장성동)
대구 성서점,대구 달서구 이곡공원로1길 50  (이곡동)
대전목동점,대전 중구 목동 4-11  1층
부천 범박점,"경기도 부천시 범안로 117  (범박동, 현대리치모아) 1층 103호"
안산 원곡센트럴점,경기 안산시 단원구 화랑로 122  (원곡동)
진접 해밀점,경기 남양주시 진접읍 해밀예당1로 50-44  (금곡리) 1층
안산 고잔점,"경기 안산시 단원구 광덕동로 41  (고잔동, 로진프라자) 104호"
용인 신동백점,"경기 용인시 기흥구 동백죽전대로 507  (동백동, 용인동백두산위브더제니스) 143호"
봉담2지구점,경기도 화성시 봉담읍 상리중심상가길 6-4  (상리) 1층 103호
대전봉명점,"대전광역시 유성구 계룡로 150  (봉명동, 승호빌딩) 205호"
시흥 은계호수공원점,"경기도 시흥시 은계호수로 31  (은행동, 그린타워)"
안산 선부점,"경기도 안산시 단원구 선부광장1로 30  (선부동, 단원프라자)"
창원팔용점,"경상남도 창원시 의창구 팔용로 428  (팔용동, 드림피아)"
