매장명,주소,지역
북창,"서울 중구 남대문로1길 60 (북창동, 문치과빌딩)",서울
염창,"서울 강서구 양천로 723 (염창동, 성우빌딩)",서울
구로태평양물산,"서울 구로구 디지털로31길 12 (구로동, 태평양물산) 102동1호",서울
선릉역,"서울 강남구 테헤란로 422 (대치동, KT타워)",서울
원더스 강남,"서울 서초구 강남대로 373 (서초동, 홍우빌딩)",서울
왕십리민자역사,"서울 성동구 왕십리광장로 17 (행당동, 왕십리민자역사), 왕십리광장 1층",서울
양재사옥,"서울 서초구 남부순환로 2620 (양재동, 강남피타워)",서울
고덕역,"서울 강동구 동남로73길 17 (명일동, 우진빌딩)",서울
테크노마트,서울 광진구 광나루로56길 85 (구의동),서울
암사역,서울 강동구 올림픽로 775 (암사동),서울
등촌,"서울 강서구 공항대로 335 (등촌동, 경왕빌딩)",서울
청담,"서울 강남구 삼성로 651 (삼성동, 래미안 라클래시)",서울
응암역,"서울 은평구 은평로 85 (응암동, CJ드림시티) A-101",서울
영등포역사,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사) 3층",서울
중앙대병원,"서울 동작구 흑석로 102 (흑석동, 중앙대학교병원) 지하1층 109-1호",서울
방송통신대,"서울 종로구 대학로 86 (동숭동, 한국방송통신대학교) 소비자협동조합1층",서울
중앙보훈병원,"서울 강동구 진황도로61길 53 (둔촌동, 중앙보훈병원)",서울
광운대역,"서울 노원구 석계로 98-2 (월계동, 광운대역)",서울
사당,"서울 동작구 사당로 236 (사당동, 제일약국) 광산빌딩1층",서울
올림픽공원,"서울 송파구 올림픽로 378 (방이동, 세민빌딩)",서울
센트럴시티K,"서울 서초구 신반포로 176 (반포동, 센트럴시티빌딩) 102호",서울
쌍문역,"서울 도봉구 도봉로 468 (창동, 홍일빌딩) 101",서울
연대동문회관,"서울 서대문구 연세로 50 (신촌동, 연세대학교)",서울
양재중앙,"서울 서초구 동산로 54 (양재동, 시온빌라)",서울
중계브라운스톤,"서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)",서울
창동하나로,"서울 도봉구 마들로11길 20 (창동, 하나로클럽마트)",서울
먹골역,서울 중랑구 동일로 918 (묵동),서울
노원KT,서울 노원구 노해로 502 (상계동) 103호,서울
약수역,서울 중구 다산로 128 (신당동) 1층,서울
공릉역,"서울 노원구 동일로 1078 (공릉동, 대경상운) 1층",서울
시청역,"서울 중구 세종대로 93 (태평로2가, 광학빌딩) 1층",서울
광장,"서울 광진구 아차산로 502 (광장동, 진넥스 오딧세이) 113호",서울
구파발역,"서울 은평구 진관2로 15-40, 4호(진관동, 구파발역환승센터)",서울
동대문푸르지오시티,"서울 동대문구 왕산로 86, 1층 103호(용두동)",서울
마들,"서울 노원구 동일로 1541 105호(상계동, 주공아파트종합상가)",서울
용산센트럴,"서울 용산구 한강대로 95, 지하1층 비111호(한강로2가)",서울
역삼GS타워,"서울 강남구 논현로 508 (역삼동, GS강남타워)",서울
동대문시장,"서울 종로구 종로 266 (종로6가, 동대문종합시장)",서울
뉴코아강남,"서울 서초구 잠원로 69 (잠원동, 킴스클럽)B1층",서울
서울대병원,"서울 종로구 대학로 101 (연건동, 서울대학교병원) 지하 1층 1호",서울
