매장명,주소,구
역삼점,서울 강남구 논현로72길 13 1층(역삼동),강남구
강남원에디션점,서울 강남구 언주로 563,강남구
강남행복병원점,"서울 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원) 1F",강남구
강남나누리병원점,서울 강남구 언주로149길 5 (논현동) 1F,강남구
학동제마점,서울 강남구 학동로34길 22 (논현동),강남구
삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩) 1층",강남구
강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩) 1층",강남구
강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자) 지상1층 104,105호",강남구
한티역점,서울 강남구 도곡로69길 8 (대치동) 1층,강남구
청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819) 1층",강남구
강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤) 이디야커피",강남구
학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩) 2층",강남구
강남논현학동점,서울 강남구 논현로131길 28 1층,강남구
강남도산점,서울 강남구 도산대로37길 20 1층(신사동),강남구
[하단 유의사항 확인2],서울 강남구 논현로 636,강남구
을지병원사거리점,서울 강남구 도산대로30길 7 1층(논현동),강남구
삼성한전점,서울 강남구 테헤란로 107길 11(삼성동 169-10),강남구
역삼중앙점,서울특별시 강남구 언주로81길 8,강남구
도산사거리점,서울특별시 강남구 언주로148길 14 나동 1층 107호,강남구
대청역점,서울특별시 강남구 개포로109길 34,강남구
개포동역점,서울특별시 강남구 개포로82길 11,강남구
일원동점,서울특별시 강남구 양재대로27길 20,강남구
역삼충현점,서울 강남구 역삼동  667-18,강남구
강남YMCA점,서울 강남구 논현동  봉은사로37길 29 뜨레빌빌라 101호,강남구
청담사거리점,서울 강남구 청담동  125-22,강남구
신사역점,서울 강남구 신사동  512-10 대성빌딩1층,강남구
도곡2동점,서울 강남구 도곡동  518-10번지 1층,강남구
역삼역점,서울 강남구 역삼동  643-10,강남구
역삼플래티넘점,서울 강남구 역삼동 826-37 쌍용플래티넘상가 B-108,강남구
역삼월드점,서울 강남구 역삼동 754-2 도곡프라자 102,강남구
삼성동점,서울 강남구 테헤란로88길 10 101호,강남구
길동사거리점,서울 강동구 천호대로 1132 1층 101-103호(성내동),강동구
천호중흥S클래스점,서울 강동구 천호동 423-200,강동구
암사상암로점,서울 강동구 상암로 55 1층,강동구
둔촌오륜포레온점,"서울 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온) 포레온스테이션 나인 144호",강동구
강일점,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워) 1층",강동구
강동성내점,서울 강동구 풍성로 162 (성내동) 1층,강동구
강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원) 1층",강동구
명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구
천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합) 1층 105호",강동구
고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동) 1층,강동구
강동구청점,서울 강동구 성내동 556-2,강동구
암사중앙점,서울 강동구 암사길 50 근린생활시설동 105호(암사동),강동구
천호초교사거리점,서울특별시 강동구 구천면로 304,강동구
명일중앙점,서울특별시 강동구 상암로 210 (명일동),강동구
보훈병원점,서울 강동구 둔촌동  556 암펠로스타워 1층,강동구
길동역점,서울 강동구 길동  양재대로 1471번지 동선빌딩 1층,강동구
강동역점,서울 강동구 천호동 450번지 강동상떼빌 제엘106호,강동구
둔촌점,서울 강동구 양재대로 1377 1층 9호,강동구
천호현대점,서울 강동구 천호동 432-2,강동구
미아역점,서울 강북구 미아동  207-3,강북구
수유역점,서울 강북구 수유동  191-2,강북구
가오리역점,서울 강북구 삼각산로 108 1층,강북구
번동점,서울 강북구 번동  309,강북구
한신대점,서울 강북구 덕릉로 31 수유동 이디야커피 1층,강북구
미아중앙점,"서울특별시 강북구 도봉로 128 (미아동, 1층)",강북구
북한산점,서울 강북구 4.19로 85 1층,강북구
미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스) 상가1층",강북구
미아트리베라점,"서울 강북구 삼양로19길 25 (미아동, 삼성래미안트리베라1차아파트) 지하 1층 107동 1-1호",강북구
염창대로점,서울 강서구 염창동 262,강서구
방화역점,"서울 강서구 금낭화로 145 (방화동, 에어뷰21-1오피스텔) 126호",강서구
등촌3동성당점,"서울 강서구 강서로56길 110 (등촌동, SJC빌딩) 이디야 등촌3동성당점",강서구
개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움) 본관동1층",강서구
예원문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회) 2층",강서구
화곡본동시장점,서울 강서구 까치산로4길 11 (화곡동) 1층,강서구
마곡헤리움점,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차) 1층 108호",강서구
마곡파인스퀘어점,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어) 1층 124,125,126호",강서구
까치산로점,"서울 강서구 까치산로 182 101호, 102호",강서구
방화동로점,서울 강서구 방화동로 95 1층(방화동   580-130번지),강서구
강서구청점,서울 강서구 화곡동  981-1,강서구
우장산동점,"서울 강서구 우현로 15 102~103호(화곡동, 우장산빌딩)",강서구
화곡로점,서울 강서구 화곡3동  1067-20 2층,강서구
방화사거리점,서울특별시 강서구 양천로 72  106호,강서구
강서NC점,서울 강서구 등촌동  674-2,강서구
강서한강자이점,서울 강서구 가양동  52-7 강서한강자이타워 B동 108-2,강서구
공항시장역점,서울특별시 강서구 방화동로 37-0 (방화동 메디스 타워 ),강서구
염창동점,서울 강서구 염창동  264-37,강서구
등촌역점,서울 강서구 등촌동  등촌로 217,강서구
화곡사거리점,서울 강서구 화곡동  342-53,강서구
봉천역점,서울 관악구 봉천동  931-4,관악구
신림미성점,서울 관악구 신림동  난곡로 250,관악구
신대방역점,서울특별시 관악구 난곡로 368 (신림동 송암빌딩 ) 송암빌딩2층,관악구
녹두거리점,서울특별시 관악구 신림로 91 1층,관악구
봉일시장점,서울특별시 관악구 은천로 23,관악구
관악하나로마트점,서울 관악구 남부순환로 1369 1층(신림동),관악구
난곡사거리점,서울 관악구 남부순환로 1444 1층,관악구
신림패션문화점,서울 관악구 봉천로6길 24 1층(신림동),관악구
남현홈플러스점,서울 관악구 과천대로 909 홈플러스서울남현점 1층,관악구
청룡중앙점,서울특별시 관악구 쑥고개로 80 (봉천동) 1층,관악구
신림대학동점,서울 관악구 호암로26길 17 (신림동) 1층,관악구
신림역점,서울 관악구 신림로 312 (신림동) 1층 좌측호,관악구
신림문화교점,서울 관악구 신림동 92-32 (서원동성당),관악구
봉천현대시장점,서울 관악구 봉천동 899-31,관악구
관악산으뜸점,서울 관악구 신림로 21 (신림동) 으뜸공원휴게소 2층,관악구
관악인헌점,서울 관악구 인헌길 74 (봉천동) 1층,관악구
건대역점,서울 광진구 화양동 7-3 한림타워 101호,광진구
군자역점,"서울 광진구 능동로 290 (능동, 삼일빌딩) 1층 105호",광진구
아차산역점,서울 광진구 구의동  663,광진구
자양동점,서울 광진구 자양동  681-15,광진구
자양우성점,서울특별시 광진구 자양번영로 34 (자양동 제이원하이텔 ),광진구
동서울터미널점,서울 광진구 구의동  547 강변현대하이엘 109호,광진구
세종대후문점,서울 광진구 군자동  102-1,광진구
중곡대원점,서울특별시 광진구 용마산로 111,광진구
건대스타시티점,"서울 광진구 아차산로 272 1층 5호(자양동, 더샵스타시티 1층)",광진구
건대스타시티2호점,"서울 광진구 능동로 92 201호(자양동, 스타시티몰 지하2층)",광진구
구의자양로점,서울 광진구 자양로 251 (구의동) 1층,광진구
중곡신성점,"서울 광진구 용마산로 37 (중곡동, 이안빌딩) 1층",광진구
자양사거리점,서울 광진구 자양로 81 1층 103호,광진구
혜민병원점,"서울 광진구 자양로 85 (자양동, 혜민병원) 1층",광진구
자양문원점,서울 광진구 아차산로 345 1F,광진구
구로이마트점,서울 구로구 구로동 188-26,구로구
신도림테크노마트점,서울 구로구 구로동  3-25,구로구
