매장명,주소,전화번호
남양주2청사점,"경기도 남양주시 경춘로 490, 주건축물제1동 1층 1172호 (다산동,힐스테이트 지금 디포레)",031-558-3370
파주운정산내점,경기도 파주시 청암로17번길 51,031-944-3383
송도센트럴점,인천광역시 연수구 센트럴로 194,032-833-0033
신세계대전점,"대전광역시 유성구 엑스포로 1,대전신세계 타트앤사이언스 지하 1층 A67호(도룡동)",번호없음
익산미륵사지휴게소점,전라북도 익산시 여산면 호남고속도로 191 공차 익산미륵사지휴게소점,번호없음
하남미사학원가점,"경기도 하남시 미사강변대로 34번길 72, 골든프라자 105호",031-795-8850
롯데부산광복2호점,"부산광역시 중구 중앙대로 2, 4층",번호없음
잠실월드몰점,서울 송파구 올림픽로 300 지하1층,번호없음
인천터미널점,"인천 미추홀구 연남로 35, 인천종합터미널 1층 대합실",032-426-3370
트레이더스양산점,경상남도 양산시 평산로 16,번호없음
함안휴게소부산방향점,"경상남도 함안군 군북면 현포로205(유현리993-6), 함안휴게소 부산방향 1층",055-582-2191
서대문역점,"서울특별시 서대문구 통일로 139, 1층 102호(냉천동)",02-313-3796
킨텍스점,경기도 고양시 일산서구 킨텍스로 217-60,031-995-8328
신대방삼거리점,"서울특별시 동작구 상도로 103, 1층(상도동)",02-3665-3995
부산동래역점,"부산시 동래구 온천천로 165, 102동 1층 107호",번호없음
덕유산휴게소 하남방향점,전북 무주군 안성면 공진리 471(통영대전고속도로),번호없음
덕유산휴게소 통영방향점,전북 장수군 계북면 양악리 산4-7(통영대전고속도로),번호없음
한국종합기술사옥점,"서울특별시 강동구 상일로6길 21, 한국종합기술사옥 1층(상일동)",번호없음
천안신부점,충남 천안시 동남구 만남로 50 1층 103호,041-555-3234
대치사거리점,서울시 강남구 대치동 961-1,번호없음
압구정로데오점,"서울특별시 강남구 선릉로 153길 12, 103호",02-544-8850
신논현점,서울시 강남구 강남대로 484 1층,02-544-7750
평창자연휴게소인천방향점,강원 평창군 용평면 탑거리길 63 평창자연휴게소 인천방향,번호없음
동두천지행역점,"경기도 동두천시 동두천로 119, 1층 108호 (지행동, 지행역프라자)",번호없음
창원중동유니시티점,"경상남도 창원시 의창구 중동북로 23, 제이디윙스빌딩 1동 1층 108호 (중동)",번호없음
함안휴게소 순천방향점,"경상남도 함안군 현포로205-1, 함안휴게소 순천방향 1층",053-719-2699
화곡역점,서울특별시 강서구 화곡동 1066-10 105호,번호없음
