매장명,주소,전화번호
강남구청역점,"서울특별시 강남구 학동로 342, 1층 106호(논현동 , 에스케이허브블루)",02-515-0656
강남구청점,"서울 강남구 학동로68길 7 (삼성동, 삼성동힐스테이트), 상가동 지상 1층 102호",02-512-0656
강남보건소점,"서울 강남구 선릉로 660 (삼성동, 브라운스톤 레전드)",02-514-1218
선릉역점,"서울 강남구 선릉로93길 26 (역삼동, 우리빌딩)",02-566-6552
가로수길점,서울 강남구 가로수길 19 (신사동),02-540-1041
강남CGV점,서울특별시 강남구 강남대로 438 스타플렉스,02-555-0656
강남로데오점,"서울특별시 강남구 강남대로78길 12 , (역삼동, 예미프레스티지)",02-557-1341
강남면허시험장점,"서울 강남구 테헤란로114길 16 (대치동, 동남빌딩)",02-552-5679
강남못골도서관점,"서울 강남구 자곡로 114 (자곡동, 서강플라자)",02-445-1007
강남세곡점,"서울특별시 강남구 헌릉로569길 13, 지상1층 110호(세곡동 , 라온프라이빗시티)",02-2226-1116
강남역삼점,"서울 강남구 역삼로 156 (역삼동, 태광빌딩)",02-566-1003
강남역신분당선점,"서울 강남구 강남대로 지하 396 (역삼동, 강남역)",02-6952-4888
강남역점,"서울특별시 강남구 테헤란로 101 , (역삼동, 이즈타워)지하상가 E-35",02-567-5424
강남자곡점,"서울 강남구 자곡로 202 (자곡동, 강남힐스테이트에코), 지상1층 101호",02-3411-1003
강남포이점,"서울특별시 강남구 개포로 221, 1층(개포동)",02-572-0777
강남해링턴타워점,서울 강남구 강남대로84길 15 (역삼동),02-6953-0657
개포동역점,"서울특별시 강남구 개포로82길 13-9 , 101~102호 (개포동 , 세종빌딩)",02-2226-0085
개포아이파크점,"서울 강남구 선릉로 28 (개포동, 일영빌딩)",02-494-1001
국악고점,서울 강남구 논현로12길 33 (개포동),02-572-5559
논현가구거리점,서울 강남구 학동로4길 8 (논현동),02-540-5677
논현개나리점,서울 강남구 학동로20길 16 (논현동),02-6952-9476
논현동현점,서울 강남구 도산대로50길 8 (논현동),02-540-0627
논현아크로힐스점,"서울특별시 강남구 언주로 604, 지하1층 109호(논현동 , ACROHILLS논현)",02-545-0656
논현힐탑점,서울 강남구 논현로 639 (논현동),02-6958-7656
대치사거리점,"서울특별시 강남구 삼성로 349, 우진빌딩 지상1층(대치동)",02-555-8677
대치역점,"서울특별시 강남구 삼성로 155 , 116호(대치동 , 대치퍼스트빌딩)",070-8282-6769
대치은마점,서울 강남구 도곡로 510 (대치동),02-6941-0655
대치중앙점,"서울 강남구 역삼로 416 (대치동, 태양빌딩), 지상1층",02-556-0656
대치포스코점,"서울 강남구 테헤란로78길 16 (대치동, 노벨과개미)",02-552-5551
대치하이스턴점,"서울 강남구 도곡로93길 12 (대치동, 래미안 대치 하이스턴)",070-7776-3929
대치학원가점,"서울특별시 강남구 도곡로77길 6 , 102호(대치동)",02-6747-7070
디에이치자이개포점,"서울특별시 강남구 영동대로 22, 830동 지하1층 S5B1-0510호(일원동 , 디에이치자이개포)",02-451-1777
래미안대치팰리스점,"서울 강남구 남부순환로 2917 (대치동, 청실종합상가)",02-555-2184
매봉역점,서울 강남구 남부순환로378길 12 (도곡동),02-578-3768
백암아트홀점,"서울 강남구 테헤란로113길 7 (삼성동, 백암아트센터)",02-565-9704
봉은사역점,서울 강남구 봉은사로 541 (삼성동),02-6953-7656
삼성리저브점,"서울 강남구 삼성로 517 (삼성동, 채널리저브)",02-6953-7249
삼성중앙역점,"서울특별시 강남구 봉은사로 478, 1층 102호(삼성동)",02-566-1070
삼성중앙점,"서울 강남구 영동대로85길 28 (대치동, 성원타워Ⅰ), 지상1층",02-555-5869
서울논현초점,서울 강남구 학동로6길 50 (논현동),02-6949-1656
서울신구초점,서울 강남구 압구정로14길 6 (신사동),02-515-1602
서울언주초교점,서울 강남구 남부순환로363길 12-29 (도곡동),070-4027-0971
선릉대우아이빌점,"서울 강남구 삼성로85길 42 (대치동, 대치동대우아이빌멤버스)",02-552-5557
선릉샹제리제점,"서울 강남구 테헤란로 406 (대치동, 샹제리제센터)",02-501-4580
선릉세웅타워점,"서울 강남구 선릉로94길 12 (삼성동, 세웅타워)",02-566-5513
선릉점,"서울특별시 강남구 선릉로86길 16 , 1층 (대치동)",02-556-1341
선릉한신인터밸리점,"서울 강남구 테헤란로 322 (역삼동, 한신인터밸리24)",02-2183-0909
선릉현대타워점,"서울 강남구 테헤란로 423 (삼성동, 현대타워)",02-6954-0650
선정릉역점,서울 강남구 봉은사로48길 37 (역삼동),02-6949-0654
수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",02-451-1215
수서중앙점,"서울 강남구 광평로51길 8 (수서동, 로얄프라자)",02-451-0214
신논현역점,"서울 강남구 강남대로 480 (논현동), 지상1층",02-518-0656
신사강남시장점,"서울 강남구 압구정로2길 46 (신사동, ---------)",02-512-9290
신사동고개점,"서울 강남구 도산대로 158 (논현동, 세양 APEX TOWER)",02-511-6358
신사사거리점,"서울 강남구 강남대로 594 (논현동, 대림빌딩)",070-4010-4352
압구정동양빌딩점,"서울 강남구 논현로 824 (신사동, 동양빌딩)",02-2135-2211
압구정로데오역점,서울 강남구 압구정로 338 (신사동),02-516-5112
압구정역점,"서울특별시 강남구 압구정로28길 25 , 1층 2호 (신사동 , 동심빌딩)",02-511-1533
압구정카페골목점,"서울 강남구 선릉로 815 (신사동, 신한양빌딩)",02-540-4446
압구정현대점,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)",02-513-1000
양재역점,"서울 강남구 남부순환로 2615 (도곡동, 극동스타클래스)",02-571-5558
언주KTS빌딩점,"서울 강남구 봉은사로 215 (논현동, KTS빌딩)",070-4155-7249
언주역점,서울 강남구 논현로 561 (역삼동),02-508-0656
역삼e편한세상점,"서울 강남구 선릉로 325 (역삼동, 중앙빌딩)",02-566-5919
역삼GFC점,"서울 강남구 논현로 429 (역삼동, C and C빌딩)",02-501-0656
역삼대로점,"서울 강남구 테헤란로 216 (역삼동, 신웅타워), 1층",02-558-8111
역삼래미안점,"서울 강남구 언주로 314 (역삼동, 강남프라자)",02-567-0656
역삼럭키점,"서울 강남구 도곡로 175 (역삼동, 창림빌딩)",02-556-4515
역삼문화공원점,서울 강남구 강남대로94길 75 (역삼동),02-2282-5679
역삼상록점,"서울 강남구 테헤란로43길 18 (역삼동, SC빌딩)",02-553-3365
역삼센터필드점,서울 강남구 언주로93길 20 (역삼동),02-6953-9000
역삼역점,"서울 강남구 테헤란로25길 15 (역삼동), 지상 1층",02-554-9887
역삼와이즈플레이스점,"서울 강남구 강남대로66길 14 (역삼동, 강남역 와이즈 플레이스)",02-566-3059
역삼자이점,서울 강남구 언주로81길 6 (역삼동),02-555-8175
역삼중앙점,"서울 강남구 논현로76길 10 (역삼동), 지상1층 101호",02-567-2257
역삼초교교차로점,"서울 강남구 역삼로 120 (역삼동, 성보역삼빌딩)",02-565-7505
역삼테헤란로점,"서울 강남구 논현로85길 52 (역삼동, 역삼 푸르지오 시티)",02-501-9007
영동2교교차로점,"서울 강남구 논현로28길 9 (도곡동, 유진빌딩)",02-575-5065
일원맛의거리점,서울 강남구 일원로9길 7 (일원동),02-451-5559
청담동주민센터점,서울 강남구 압구정로79길 47 (청담동),02-6953-0659
청담역점,"서울 강남구 학동로 503 (청담동, 한성빌딩)",02-545-5058
포스코사거리점,서울 강남구 삼성로 436 (대치동),02-569-5558
학동사거리점,"서울 강남구 선릉로 752 (청담동, 태성빌딩)",02-540-5553
학여울역점,서울 강남구 영동대로 219 (대치동),070-4794-8062
한티역점,"서울특별시 강남구 도곡로 405 , 105호 (대치동 , 삼환아르누보2)",02-6013-5234
강동구청점,"서울특별시 강동구 성내로 11, 105호(성내동)",02-477-0365
강동U1센터점,"서울 강동구 고덕비즈밸리로 26 (고덕동, 강동U1센터)",02-6072-0789
강동보훈사거리점,"서울 강동구 진황도로 190 (둔촌동), 1층 105호",02-477-5298
강동성내점,"서울 강동구 천호대로 1078 (성내동, 씨제이나인파크), 1층 105호",02-980-1007
강동역점,"서울특별시 강동구 천호대로 1107, 1층 101-1호(길동 , 강동역에스케이허브)",02-477-1803
강동중흥S클래스점,"서울 강동구 올림픽로78길 60 (천호동, 강동 밀레니얼 중흥S-클래스)",02-2135-3915
강동첨단업무단지점,"서울 강동구 상일로6길 39 (상일동, 강동타워)",070-8680-9658
강동헤리티지점,"서울 강동구 천중로 264 (길동, 강동 헤리티지 자이)",02-6958-6875
강일2지구점,"서울특별시 강동구 아리수로93나길 38, 1층(강일동)",02-429-0414
강일리버파크점,"서울특별시 강동구 아리수로93길 9, 102호(강일동 , 골드프라자)",02-481-1008
고덕그라시움점,"서울특별시 강동구 고덕로79길 29, 1층 107, 108호(고덕동, 고덕그라시움(제2상가))",02-2242-5555
고덕래미안점,"서울특별시 강동구 아리수로50길 50, 1층(고덕동)",02-427-8587
고덕베네루체점,"서울 강동구 구천면로 636 (상일동, 고덕 롯데캐슬 베네루체(상가B동))",02-427-1007
고덕아주점,서울 강동구 고덕비즈밸리로6길 10 (고덕동),02-6414-0110
고덕역점,"서울특별시 강동구 동남로75길 13-15 , 1층(명일동)",02-427-0177
굽은다리사거리점,서울 강동구 양재대로 1595 (천호동),02-6952-5911
굽은다리역점,"서울특별시 강동구 양재대로 1566, 1층(명일동)",02-441-5919
길동복조리시장점,서울 강동구 천중로 213 (길동),02-475-7170
길동역점,"서울특별시 강동구 양재대로 1465 , 105호 (길동 , 마루홈타운)",02-410-3865
길동초점,"서울특별시 강동구 명일로 210, 1층 1호(길동 , 동인빌딩)",02-477-8115
둔촌1동주민센터점,서울 강동구 양재대로84길 21 (둔촌동),02-2135-8460
둔촌고사거리점,"서울특별시 강동구 천호대로 1200, 1층 104호(둔촌동)",02-485-4591
둔촌동역점,"서울특별시 강동구 양재대로 1355, 1층(성내동)",02-486-8881
둔촌오륜포레온점,"서울 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온)",02-6952-6952
둔촌한산중점,서울 강동구 풍성로 245 (둔촌동),02-477-0619
명일솔베뉴점,서울 강동구 구천면로 429 (명일동),02-428-0222
명일역점,"서울특별시 강동구 양재대로 1641, 1층 4호(명일동)",02-429-9004
상일고덕점,"서울특별시 강동구 상일로 55, 108호(상일동 , 고덕자이)",02-441-1025
서울대명초점,서울 강동구 구천면로 502 (명일동),02-6952-8921
서울천동초점,서울 강동구 성안로 194 (길동),02-488-0516
선사사거리점,서울 강동구 올림픽로 816 (암사동),02-442-0502
성내동농협교차로점,"서울 강동구 성안로 71 (성내동, 아이앤티(강동))",02-477-8590
암사롯데캐슬점,"서울 강동구 고덕로 133 (암사동, 강동롯데캐슬퍼스트아파트)",02-6949-0345
암사브라운스톤점,"서울특별시 강동구 상암로 54, 상가동 1층 6호(천호동 , 브라운스톤암사아파트)",02-477-6455
암사역점,"서울특별시 강동구 올림픽로 783 , 102호(암사동)",02-442-8222
암사점,"서울특별시 강동구 고덕로 95 , 1층 (암사동)",02-428-2587
올림픽공원북문점,"서울특별시 강동구 성안로 9, 1층 103호(성내동)",02-487-7117
천호공원점,"서울특별시 강동구 올림픽로 715 , 1층",02-487-0055
