지역,매장명,주소,전화번호
제주도,제주애월구엄포구점(미니버전),"제주특별자치도 제주시 애월읍 구엄리 606 , 1층 빽다방",070-4300-0443
경기도,오산공군기지점,경기 평택시 신장동 229-17 2층,031-669-1515
경기도,광명초교점,경기도 광명시 광명로928번길 16,02-6958-7991
전라북도,완주혁신점,"전북특별자치도 완주군 이서면 기지로 47, 103호",063-904-3330
서울특별시,자양역점,"서울 광진구 뚝섬로34길 67 (자양동, 광진트라팰리스) 1층",02-6954-0059
서울특별시,종로꽃시장점,서울 종로구 종로 255 (종로5가) 1층,070-4333-1040
전라남도,목포활어회플라자점,"전남 목포시 고하대로 641-21 (산정동, 목포 활어회 플라자) 판매동 138호",061-274-2233
충청남도,공주동학사점,충청남도 공주시 반포면 동학사1로 272,070-8838-0464
부산광역시,부산일광신도시점,부산광역시 기장군 일광읍 해빛6로 43-25,051-723-0714
경기도,부천소사본점,"경기 부천시 소사구 소사본동 82-4, 1층",070-4820-2589
대구광역시,빽다방 빵연구소 대구서재점,"대구 달성군 다사읍 서재리 781 1층,2층",053-587-1608
서울특별시,길음뉴타운점,"서울 성북구 길음로 33 (길음동, 길음뉴타운) 길음뉴타운제비동 제지하2층 9호",미등록
강원도,원주무극부대점,강원특별자치도 원주시 가현동 5 (군부대內),미등록
충청북도,청주복대대농점,충청북도 청주시 흥덕구 대농로 68(복대동),043-234-5509
서울특별시,청계산입구역점,"서울시 서초구 청계산로 217, 1층",미등록
경기도,안산원곡군자점,"경기 안산시 단원구 화랑로 32 (원곡동, 군자상사) 1층",070-4060-0701
충청남도,천안두정대우점,충남 천안시 서북구 두정로 244,041-565-7338
전라북도,김제신풍점,전북특별자치도 김제시 금성로 96 (신풍동),063-545-8259
전라북도,전주아중견훤로점,전주시 덕진구 견훤로 233 (인후동1가) 1층,063-247-2050
부산광역시,부산자갈치시장점,"부산 중구 자갈치로 33 (남포동6가, 신천지) 1층",미등록
인천광역시,인천가좌가림고점,"인천 서구 원적로 63, 111호",0507-1346-3702
경기도,용인고림내안애점,"경기 용인시 처인구 경안천로 120, 1층",031-336-1854
경기도,안양비산래미안점,"경기 안양시 동안구 관악대로 133, 1층",031-442-1343
경기도,구리인창삼거리점,경기 구리시 동구릉로53번길 4 (인창동) 1층,031-566-2645
경상북도,영천망정점,경상북도 영천시 창신1길 42,054-333-8566
대구광역시,대구동촌역점,대구 동구 동촌로16길 16 (검사동) 1층,053-982-1124
서울특별시,염창역달빛거리점,서울특별시 양천구 공항대로 618,02-2646-1163
강원도,속초터미널점,"강원도 속초시 조양동 1419-5, 1층",070-5100-5180
충청남도,천안용곡세광점,충청남도 천안시 동남구 풍세로 769-28,041-577-0410
전라북도,완주삼례터미널점,"전북 완주군 삼례읍 동학로 28, 1층 빽다방",063-291-8119
전라북도,전북순창점,전북특별자치도 순창군 순창읍 순창로 225,063-653-6003
강원도,인제원통점,"강원도 인제군 북면 원통리 656-41, 1층",미등록
인천광역시,인천국세청점,인천광역시 남동구 남동대로765번길 25,070-7802-2085
대전광역시,대전목양마을점,대전광역시 중구 목동 88-6,042-252-8204
서울특별시,이수역13번출구점,"서울 동작구 사당동 132-10, 1층",070-4060-0042
인천광역시,인천계양위너스카이점,인천 계양구 효성동 325-2 D동 107호,070-5055-5054
서울특별시,신논현역점,서울 서초구 반포동 738-47,070-5057-3910
대구광역시,대구시지점,대구광역시 수성구 달구벌대로 3205 (신매동),053-794-2223
경기도,부천중동점,"경기도 부천시 부흥로 315번길 62, 1층",032-710-7998
경기도,철산자이더헤리티지점,경기 광명시 철산동 235 1층,070-5055-0808
전라북도,정읍호남고점,전북특별자치도 정읍시 초산로 5 (시기동),063-700-8588
인천광역시,인천용현시장북문점,인천 미추홀구 독정이로 24-1,미등록
대전광역시,대전하기동점,대전광역시 유성구 송림로 44,042-825-0819
경기도,광교센트럴점,"경기 수원시 영통구 이의동 1322-8, 1층",미등록
경기도,산본흥진점,"경기 군포시 오금로 15-30, 1층",031-395-1343
전라북도,김제시청점,전북특별자치도 김제시 중앙로 57 (서암동),070-8648-3033
서울특별시,이태원점,서울 용산구 이태원로20길 2-12 (이태원동) 1층,02-797-4208
서울특별시,장위자이레디언트점,"서울특별시 성북구 돌곶이로30길 24, 상가동 107호 좌측",02-942-1007
충청남도,천안두정오성점,충남 천안시 서북구 오성로 1,041-562-7338
경상북도,포항연일점,경북 포항시 남구 연일읍 동문로76번길 10-6 105호,054-610-1070
전라남도,목포연산점,전라남도 목포시 연산로 163,070-7378-1451
경기도,기흥테라타워점,"경기도 용인시 기흥구 서천로201번길 11 (지하1층 C-L143,144호)",031-203-3599
충청북도,충북음성점,충북 음성군 음성읍 수정로 55 (읍내리) 1층,070-7604-2456
경상북도,김천신음점,경북 김천시 시청로 57,054-810-7776
경기도,평택고덕유보라점,"경기도 평택시 고덕국제2로 45, 131호",070-4324-1095
대전광역시,대전둔산더샵엘리프점,대전 서구 탄방로 112 102호,070-4175-0030
경기도,남양주마석중흥점,경기도 남양주시 화도읍 맷돌로 117,031-592-0328
대구광역시,대구이천푸르지오점,대구 남구 이천동 474-1 상가동,미등록
대전광역시,대전관저마치광장점,대전 서구 구봉로 133 에스프라자,070-4351-1513
경기도,안양덕천점,경기 안양시 만안구 안양동 192-20,031-466-1989
서울특별시,대전선화해모로점,대전 중구 선화동 193-26,070-7510-1004
