매점명,지역,주소
울산삼산점,울산,"울산광역시 남구 돋질로 302번길 39, 2, 3층"
한강여의도4호점,서울,서울시 영등포구 여의서로 62 2층
한강여의도3호점,서울,서울시 영등포구 한강남자전거길 1451 2층
대전선화점,대전,대전광역시 중구 대종로 593
대구반월당점,대구,대구시 중구 달구벌대로 2082 1층(반월당역 반도유보라)
마린시티아뜰리에점,부산,"부산광역시 해운대구 마린시티1로 147, 우신골든스위트 1층"
여주휴게소(강릉방향),경기도,경기도 여주시 가남읍 여주남로 722 여주휴게소 강릉방향
김제휴게소(새만금방향),전라북도,전라북도 김제시 흥사동 하정로 93 김제휴게소(새만금방향)
화순전남대학교병원점,전라남도,전라남도 화순군 화순읍 서양로 322 화순전남대학교병원 1층
인천공항T2 A/S점,인천,인천시 중구 제2터미널대로 446 인천공항 제2여객터미널 3층 면세구역
선릉역점,서울,서울시 강남구 테헤란로 332
동해천곡점,강원도,강원특별자치도 동해시 한섬로 112 (천곡동)
대구화원DI점,대구,대구광역시 달성군 화원읍 비슬로508길 8
별내휴게소,경기,경기도 남양주시 별내면 광전리 산 112-1 별내 휴게소
의정부휴게소,경기,경기도 의정부시 산곡동 304-2 의정부 휴게소
군산은파호수공원DI점,전라북도,전라북도 군산시 은파순환길 78
김제휴게소(전주방향),전라북도,전라북도 김제시 백산면 하정2길 126 김제휴게소 전주방향
목포센텀스퀘어점,전라남도,전라남도 목포시 통일대로 66
세종소담점,세종시특별자치시,세종특별자치시 소담로 87
첨단시리단길점,광주,광주광역시 광산구 쌍암동 694-60
울산중구무궁화점,울산,"울산광역시 중구 번영로 534, 1-2층"
남양주사릉역DI점,경기,"경기 남양주시 진건읍 진건우회로 75, 1,2층"
대구구병원점,대구,대구광역시 달서구 달구벌대로 1596
대구대표도서관점,대구,"대구광역시 남구 중앙대로22길 26, 1층"
길동역점,서울,"서울 강동구 양재대로 1463, 1층"
서울시의회별관점,서울,서울시 중구 덕수궁길 15 서울시청 서소문별관 1층
전주한옥마을점,전라북도,전라북도 전주시 어진길 58
을지대병원점,경기,경기도 의정부시 동일로 712 복합동 지하1층
가평역점,경기,경기도 가평군 가평읍 문화로 13-33
대구칠곡3지구점,대구,대구광역시 북구 동천로 128-17
남원교룡공원DI점,전라북도,"전라북도 남원시 산성순환길 713, 주1동(산곡동)"
성남물빛정원점,경기,경기도 성남시 분당구 탄천상로 102
센트로인천공항 랜드마크점,인천,인천시 중구 제2터미널대로 446 인천공항 제2여객터미널 3층
대전갤러리아점,대전,대전광역시 서구 대덕대로 217번길 32
안성휴게소(서울방향),경기,경기도 안성시 원곡면 경부고속도로 372
음성휴게소(하남),충청북도,충청북도 음성군 삼성면 중부고속도로 52
서울역사박물관점,서울,서울시 종로구 새문안로 55
홍성의료원점,충청남도,"충청남도 홍성군 홍성읍 조양로 224 1동, 1층"
신천강변DI점,대구,대구광역시 북구 신암로 51
오산휴게소(동탄방향),경기도,경기도 오산시 수도권제2순환도로 14
경주양남점,경상북도,경상북도 경주시 양남면 양남로 146
고성공룡나라휴게소(대전),경상남도,경상남도 고성군 대가면 신전리 67
고성공룡나라휴게소(통영),경상남도,경상남도 고성군 대가면 송계리 447
치악휴게소(부산방향),강원도,강원도 원주시 신림면 치악로 416
양주옥정로데오점,경기도,"경기도 양주시 옥정동로7다길 12-13, 폴리타워 2층 211호"
