매점명,주소
신세계백화점 의정부점,경기도 의정부시 평화로 525 신세계백화점 3층
롯데백화점 노원점,서울시 노원구 동일로 1414 롯데백화점 노원점 B1
현대아울렛 남양주점,경기도 남양주시 다산순환로50 현대아울렛 128호
현대백화점 미아점,동소문로 315 현대백화점 미아점 2층
롯데몰 은평점,서울 은평구 통일로 1050 롯데몰 은평점 1층
청량리역점,서울특별시 동대문구 왕산로 214 청량리역3층
스타필드 고양 1호점,경기 고양시 덕양구 고양대로 1955스타필드 고양점 4층
혜화역점,서울 종로구 동숭길 145
광화문점(폴&밀도),서울시 종로구 종로 1길 50 더K트윈타워 1층
종각역점,서울특별시 종로구 종로 47 SC제일은행본점 폴 바셋
광화문 디타워점,서울 종로구 종로3길 17 D타워 1층
을지로 파인에비뉴점,서울특별시 중구 을지로 100파인에비뉴 1층
페럼타워점,서울시 중구 을지로 5길 19 페럼타워 1층
광화문 흥국생명점,서울특별시 종로구 새문안로 68 신문로사옥1층 일
코리아나호텔점,서울시 중구 세종대로 135 코리아나호텔 1층
상일동점,서울시 강동구 상일로6길 21 `한국종합기술사옥 1층
롯데백화점 본점,서울시 중구 남대문로 81 롯데백화점 본점 지하 1층
서소문점,서울특별시 중구 서소문로 124 씨티스퀘어 1층
현대백화점 천호점,서울 강동구 천호대로 1005 현대백화점 천호점 지하1층
한국경제신문사점,서울시 중구 청파로 463 한국경제신문사 1층
연세암병원점,연세로 50-1 연세암병원 3층
MBC 몰 파크점,서울시 마포구 성암로 267MBC Mall Park 103호
한남 커피스테이션 / 로스트웍스,서울 용산구 한남대로 48
스타필드 하남 1호점,경기도 하남시 미사대로750 스타필드 하남 지하 1층
스타필드 하남 2호점,경기도 하남시 미사대로750 스타필드 하남 3층
압구정2호점,서울시 강남구 압구정로36길 8 1층
AK플라자 홍대점,서울시 마포구 양화로 188 AK플라자 홍대점 1층
현대모터스튜디오서울점,서울시 강남구 언주로 738 현대모터스튜디오 2층
청담역점,서울시 강남구 삼성로 651 래미안라클래시 103호
강남구청역점,서울시 강남구 청담동 41-2금하빌딩 1층
롯데백화점 잠실점,서울시 송파구 올림픽로 240 롯데백화점 잠실점 신관 지하 1층
코엑스몰점,서울 강남구 영동대로 513 코엑스몰 P104호
투고 바 롯데월드 어드벤처점,"서울특별시 송파구 올림픽로 240, 롯데월드 어드벤처 내"
롯데월드 아이스링크점,서울 송파구 올림픽로 240 롯데월드 어드벤처동 지하3층 아이스가든
교보문고 합정점,서울특별시 마포구 월드컵로 1길 14딜라이트 스퀘어 B2
용산아이파크몰점,서울시 용산구 한강대로 23길 55 아이파크몰 6층
파르나스몰점,서울 강남구 테헤란로 521 파르나스몰 지하 1층
NC타워 삼성점,서울시 강남구 테헤란로 509 NC타워 1층
일산마두점,경기도 고양시 일산동구 중앙로 1205 차움라이프센터 1층 폴 바셋
선릉역 동훈타워점,테헤란로 317 동훈타워 1층
뉴코아 강남점,서울 서초구 잠원로 51 뉴코아아울렛 2관 1층
교보문고 강남점,서울시 서초구 서초동 1303-22교보타워 지하 2층
GFC점,서울시 강남구 테헤란로 152 강남파이낸스센터 지하 1층
파미에스테이션점,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 FP102호
롯데백화점 강남점,서울시 강남구 도곡로 401 롯데백화점 강남점 본관 1층
반포 쌍동빌딩점,서울특별시 서초구 고무래로 26 동관 1F 폴 바셋
여의도 국회대로점,서울시 영등포구 국회대로68길 17 해운빌딩 1층
대치역점,서울특별시 강남구 삼성로 155 대치퍼스트빌딩1층
여의도 현대카드 CAFE,"서울시 영등포구 의사당대로 3, 현대캐피탈 빌딩 1관 1층"
여의도 IFC몰점,서울시 영등포구 여의도동 23 IFC몰 L2층
