매장코드,매장명,주소,오픈날짜
1509,역삼아레나빌딩,서울특별시 강남구 역삼동 721-13 아레나빌딩,2019-06-13
1434,논현역사거리,서울특별시 강남구 논현동 142-2 정일빌딩,2018-11-23
1595,신사역성일빌딩,서울특별시 강남구 논현동 18-4 성일빌딩,2019-12-19
1527,국기원사거리,서울특별시 강남구 역삼동 648-22 동찬빌딩,2019-07-31
1468,대치재경빌딩,서울특별시 강남구 대치동 599 대원빌딩,2019-02-14
1640,봉은사역,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,2020-05-28
1650,압구정윤성빌딩,서울특별시 강남구 신사동 592 윤성빌딩,2020-05-29
1626,코엑스별마당,서울특별시 강남구 삼성동 159 코엑스,2020-04-16
1438,삼성역섬유센터R,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,2018-11-23
1411,압구정R,서울특별시 강남구 신사동 621-1,2018-08-31
1389,수서역R,서울특별시 강남구 수서동 715 수서빌딩,2018-06-27
1404,양재강남빌딩R,서울특별시 강남구 도곡동 956 LG전자 강남R&D센터,2018-08-24
1355,선릉동신빌딩R,서울특별시 강남구 삼성동 141-28 동신빌딩,2018-03-30
1348,봉은사로선정릉,서울특별시 강남구 삼성동 114-9 올림푸스타워,2018-03-06
1255,강남오거리,"서울특별시 강남구 역삼동 813-17 1,2,3층",2017-08-18
1211,스타필드코엑스몰R,서울특별시 강남구 삼성동 159 코엑스  A106호,2017-05-02
1188,강남구청정문,서울특별시 강남구 청담동 44-12 대륭빌딩,2017-03-23
1263,도곡공원,서울특별시 강남구 역삼동 788-10,2017-08-25
1258,강남R,서울특별시 강남구 역삼동 825 미진프라자 1층 101호,2017-08-16
1099,대치은마사거리,서울특별시 강남구 대치동 941-19 진흥빌딩,2016-08-12
1154,청담영동대로,서울특별시 강남구 청담동 132-1 삼청빌딩,2016-12-23
1084,압구정,서울특별시 강남구 신사동 609 이소니프라자,2016-06-23
1159,신사가로수,서울특별시 강남구 신사동 533-11,2016-12-27
1146,청담스타R,서울특별시 강남구 청담동 89-4,2016-12-14
1129,강남우성,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌,2016-11-10
991,학동사거리,서울특별시 강남구 논현2동 93-2번지,2015-09-11
1062,대치사거리,서울특별시 강남구 대치동 960-5 티아빌딩,2016-05-12
1038,포스코사거리,서울특별시 강남구 삼성동 157-36 화진빌딩,2016-02-24
914,을지병원사거리,서울특별시 강남구 논현동 59-8 구산빌딩,2015-04-22
863,신사역,서울특별시 강남구 논현동 1-3 렉스타워,2014-12-11
825,도곡역,서울특별시 강남구 대치동 651,2014-08-28
815,서울세관사거리,서울특별시 강남구 논현동 238-5 한국건설기술인협회,2014-07-31
734,청담사거리,서울특별시 강남구 청담동 6-5 리츠타워,2014-02-20
687,한티역,서울특별시 강남구 대치동 1024 디마크빌딩 101호,2013-11-08
752,역삼초교사거리,서울특별시 강남구 역삼동 830-71,2014-03-26
744,코엑스몰,서울특별시 강남구 삼성동 159 코엑스 O103호,2014-03-01
672,가로수길,서울특별시 강남구 신사동 529-10 1~2층,2013-10-04
632,역삼대로,서울특별시 강남구 역삼동 678-39번지 한국고등교육재단빌딩1층,2013-06-25
636,역삼포스코,서울특별시 강남구 역삼동 735-3번지 P&S TOWER,2013-07-09
630,강남대로,서울특별시 강남구 역삼동 809-10번지 한석타워 2층 1-2호,2013-06-20
667,청담,서울특별시 강남구 청담동 52-1 인희빌딩 1층,2013-09-17
607,삼성교,서울특별시 강남구 대치동 1001-8 외 2필지 동남유화빌딩1층,2013-04-23
251,학동역,서울특별시 강남구 논현동 87,2004-08-30
200,대치,서울특별시 강남구 대치동 988-17 대진빌딩,2003-05-09
198,신세계푸드마켓도곡,서울특별시 강남구 도곡동 467-17 타워팰리스Ⅱ F 지하1층,2003-01-15
180,삼성,서울특별시 강남구 삼성동 144-25 태리타워 1층,2002-03-29
170,선릉세화빌딩,서울특별시 강남구 대치동 889-70 세화빌딩 1층,2001-11-10
158,압구정역,서울특별시 강남구 신사동 580-2 관영빌딩 1층 지하1층,2001-03-10
283,압구정로,서울특별시 강남구 신사동 635-13,2007-12-21
279,구역삼사거리,서울특별시 강남구 역삼동 747-21,2008-05-28
278,큰길타워,서울특별시 강남구 역삼동 677-25 큰길타워,2005-03-10
275,강남구청역,서울특별시 강남구 논현동 241-7 웰빙센터 1층,2005-04-20
274,대치역,서울특별시 강남구 대치동 507 윈플러스상가 107호,2005-05-10
272,포이,서울특별시 강남구 개포4동 1229-1,2005-05-30
19,아크플레이스,서울특별시 강남구 역삼동 736-1,2006-04-21
3,학여울역,서울특별시 강남구 대치동 994-10,2006-02-23
989,선정릉역,서울특별시 강남구 삼성2동 37-17 에프오빌딩,2015-09-22
58,삼성현대힐,서울특별시 강남구 삼성동 51번지,2008-12-05
266,GS타워,서울특별시 강남구 역삼동 679,2005-08-06
259,압구정미소,서울특별시 강남구 신사동 583-3,2004-12-10
258,선릉역,서울특별시 강남구 역삼동 708-6 LG화재 빌딩,2004-11-19
484,코엑스사거리,서울특별시 강남구 삼성동 91-31,2012-02-27
471,역삼럭키,서울특별시 강남구 역삼동 798-30,2012-01-10
394,신압구정,서울특별시 강남구 신사동 639-7번지,2011-06-07
306,아크로힐스논현,서울특별시 강남구 역삼동 681번지 금강빌딩 1-2층,2009-12-23
497,강남비젼타워,서울특별시 강남구 역삼동 826-26번지 1층 101호,2012-03-30
338,압구정로데오역,"서울특별시 강남구 청담동 84-3번지 삼원빌딩 1,2층",2010-08-31
316,르네상스사거리,서울특별시 강남구 역삼동 706-1번지,2010-03-25
325,포스코,서울특별시 강남구 대치동 942-5번지 1층,2010-07-14
565,선릉로,서울특별시 강남구 역삼동 697-45 대흥빌딩 1층,2012-11-14
430,논현힐탑,서울특별시 강남구 논현동 216-5번지,2011-08-29
433,도산가로수길,서울특별시 강남구 논현동 5번지 2층,2011-09-07
2319,매봉역,서울특별시 강남구 도곡동 411-19 지앤지빌딩,2024-09-10
2520,호림아트센터,서울특별시 강남구 신사동 651-24 호림아트센터 1빌딩,2026-01-30
2497,청담역6번출구,"서울특별시 강남구 삼성동 65-5, 65-10",2025-12-11
2509,강남자곡,"서울특별시 강남구 자곡동 650, 107~109호",2025-12-26
1760,대치한티,서울특별시 강남구 대치동 922-1 SH타워,2021-01-28
2125,개포동,서울특별시 강남구 개포동 167-9,2023-04-21
1873,수서역사거리,서울특별시 강남구 수서동 724 로즈데일오피스텔,2021-09-29
1710,코엑스아셈타워,서울특별시 강남구 삼성동 159 코엑스아셈타워 AT-01호,2020-11-04
2428,강남차여성병원,서울특별시 강남구 역삼동 605 마티네 차움,2025-07-10
1831,센터필드R,서울특별시 강남구 역삼동 676 센터필드,2021-07-27
1813,도산사거리,서울특별시 강남구 논현동 70-6 트리스빌딩,2021-06-10
1800,강남세곡,서울특별시 강남구 세곡동 551 팜모드빌딩,2021-04-22
1716,대치삼성,서울특별시 강남구 대치동 993-1,2020-10-08
2534,강남아이퀘스트,서울특별시 강남구 역삼동 839-16 아우디 도곡로 전시장,2026-03-20
2057,언주역,서울특별시 강남구 역삼동 652-2,2022-11-24
2522,한티역8번출구,서울특별시 강남구 역삼동 765-17,2026-01-30
2514,신논현역3번출구,서울특별시 강남구 논현동 199 대남빌딩,2026-01-30
2437,강남파이낸스센터,"서울특별시 강남구 역삼동 737 강남파이낸스센터, 1층 B호",2025-07-31
1975,강남역신분당역사,서울특별시 강남구 역삼동 858,2022-05-12
2000,삼성역,서울특별시 강남구 대치동 996-1번지,2022-07-07
1752,테헤란로아남타워,서울특별시 강남구 역삼동 702-10 아남타워빌딩,2021-01-07
1902,강남논현,서울특별시 강남구 논현동 164-7,2021-12-16
1846,삼성동,서울특별시 강남구 삼성동 168-22 페코빌딩,2021-08-06
2398,리저브도산,"서울특별시 강남구 신사동 656-4, 1,2층",2025-04-29
2371,압구정역사3번출구,서울특별시 강남구 신사동 603 ANdAZ 지하1층,2024-12-27
2204,청담역,서울특별시 강남구 청담동 47-2,2023-11-01
2245,압구정현대아파트,서울특별시 강남구 신사동 574-4,2024-03-04
2331,강남청담빌딩,서울특별시 강남구 청담동 41 청담빌딩,2024-09-29
2351,케이스퀘어강남,서울특별시 강남구 역삼동 819,2024-11-22
2217,강남세곡DT,"서울특별시 강남구 세곡동 21-3, 21-1, 21-10(일부)",2023-11-30
1120,미아뉴타운,서울특별시 강북구 미아동 812-2 행전빌딩,2016-10-07
971,강북구청사거리,서울특별시 강북구 수유동 174-13,2015-08-18
872,미아사거리역,서울특별시 강북구 미아동 35-30,2014-12-23
254,수유역,서울특별시 강북구 번동 418-17,2004-10-14
509,미아역,서울특별시 강북구 미아동 121-19번지,2012-04-25
2314,수유역5번출구,서울특별시 강북구 수유동 740 에피소드 수유 838,2024-09-05
1858,서울안토,서울특별시 강북구 우이동 산14-3,2021-08-27
1547,발산역사거리,서울특별시 강서구 마곡동 801-2,2019-09-30
1625,마곡역,서울특별시 강서구 마곡동 798-3,2020-04-09
1383,우장산역,서울특별시 강서구 내발산동 719-6 송화쇼핑센터,2018-06-26
1396,마곡사이언스타워R,서울특별시 강서구 마곡동 796-3 마곡사이언스타워,2018-07-31
1311,방화DT,"서울특별시 강서구 방화동 293-4, 293-14, 293-15",2017-12-13
1267,마곡나루역,"서울특별시 강서구 마곡동 759-3 보타닉파크타워Ⅰ105,203,204호",2017-09-07
1217,마곡GMG,서울특별시 강서구 마곡동 773-2 마곡지엠지타워,2017-05-10
1196,가양역,서울특별시 강서구 등촌동 73-1 금부빌딩,2017-03-31
1114,화곡DT,서울특별시 강서구 화곡동 772-67,2016-10-11
909,화곡동,서울특별시 강서구 화곡동 1073-10,2015-03-27
703,염창역,서울특별시 강서구 염창동 282-23,2013-12-13
731,발산역,서울특별시 강서구 등촌동 678-14 그랜드마트,2014-02-07
549,까치산역,서울특별시 강서구 화곡동 343-1번지,2012-09-05
2479,마곡코엑스,"서울특별시 강서구 마곡동 767, 르웨스트시티 제본동 제1층 샵4/5호",2025-11-28
2288,염창대로,"서울특별시 강서구 염창동 260, 101호",2024-06-28
2196,발산역5번출구,"서울특별시 강서구 내발산동 647 DH647, 1층 일부",2023-10-13
2496,양천향교역,서울특별시 강서구 마곡동 776-2 마곡센트럴대방디엠시티오피스텔 121-1 121-2호,2025-12-24
2013,화곡역8번출구,"서울특별시 강서구 화곡동 1051-22, 1층 일부",2022-08-01
2003,강서우장산,"서울특별시 강서구 화곡동 1013-3 우장산역 해링턴 타워, 116/117/118/119/120호",2022-07-12
1771,등촌대로,서울특별시 강서구 염창동 274-17 센터스퀘어,2021-03-03
2393,마곡보타닉게이트,서울특별시 강서구 마곡동 779,2025-04-17
1839,가양역사거리,"서울특별시 강서구 등촌동 628-9 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",2021-08-06
