매점명,주소
강릉입암점,강원특별자치도 강릉시 성덕로 316-11 (입암동) 104호
지행역점,"경기 동두천시 동두천로 119 (지행동, 지행역프라자) 1층 121호"
제주연오점,"제주특별자치도 제주시 연오로 95 (연동, 연오빌라) 101호"
전주해성점,전북특별자치도 전주시 완산구 계룡산길 84 (삼천동2가) 1층
숭례문점,서울 중구 세종대로 27 (봉래동1가) 1층
여수산단점,"전남 여수시 여수산단로 179 (주삼동, 주삼동주유소) 1층"
영주아이파크점,"경북 영주시 남간로71번길 41 (휴천동, 영주 아이파크) 상가 104호"
보령대천점,충남 보령시 번영로 41 (대천동) 1층
장수읍점,전북특별자치도 장수군 장수읍 장수리 475-6 1층 더벤티 장수읍점
울산삼산점,울산 남구 삼산로317번길 28 (삼산동) 1층
평택장당점,경기 평택시 송탄로 71 (이충동) 1층 더벤티
삼척터미널점,"강원특별자치도 삼척시 봉황로 9-22 (남양동, 삼척종합버스터미널) 1층"
장성황룡점,전남 장성군 장성읍 뱃나드리로 199 (영천리) 1층
대전도안호수공원점,"대전 유성구 원신흥로 122-11 (원신흥동, 명경프라자Ⅱ) 107호"
방이올림픽점,서울 송파구 가락로 275 (방이동) 102~102호
대전유성구청점,대전 유성구 어은로48번길 5 (어은동) 1층
대전관저마치광장점,대전 서구 구봉로 125 (관저동) 지하1층 B102호
경주중앙점,경북 경주시 계림로 96-1 (황오동) 1층
광명철산점,"경기 광명시 철산로30번길 24 (철산동, 서울종합빌딩) 1층"
전주평화새강병원점,전북특별자치도 전주시 완산구 백제대로 20 (평화동1가) 1층
울산온양점,"울산 울주군 온양읍 연안2길 2 (대안리, 상아대안1차아파트) 109호"
김포북변점,경기 김포시 북변중로 103 (북변동) 1층
시흥대야역점,"경기 시흥시 은계중앙로 374 (대야동, 골드웨이Ⅱ) 104동"
광주풍암점,광주 서구 풍암2로 61 (풍암동) 1층
포항해도점,경북 포항시 남구 희망대로 1019 (해도동) 1층
여수미평주공점,"전남 여수시 미평로 82 (미평동, 미평빌딩) 미평빌딩 108호"
대전도안점,대전 유성구 도안대로 512-21 (봉명동) 1층
천안병천점,충남 천안시 동남구 병천면 아우내순대길 16 (병천리) 1층 더벤티 천안병천점
과기대협동문점,서울 노원구 공릉로58길 87 (하계동) 1층
강서마곡점,"서울 강서구 공항대로 219 (마곡동, 센테니아) 센테니아 113호"
