지점ID,매점명,매점주소,전화번호
1903894,전농동사거리점,서울특별시 동대문구 사가정로 97 (전농동) 1층,02-3394-5504
1903871,파주오두산통일전망대점,경기도 파주시 탄현면 필승로 369 (오두산통일전망대) 4층,031-944-8990
1903869,인천영종한빛타워점,"인천광역시 중구 쪽빛하늘로 72 (운남동) 한빛타워 106, 107, 108호",032-713-4562
1903788,홍제역점,"서울특별시 서대문구 통일로 455 (홍제동, 경인주유소) 서울시 서대문구  홍제동 330-61",02-2135-2270
1903851,대구지산광장점,"대구광역시 수성구 용학로 297-7 (지산동) 1,2층 (지산동)",053-781-3335
1903852,아산CGV점,충청남도 아산시 온천대로 1538 (온천동) 1층 투썸플레이스,041-532-7868
1903875,강남구청역점,서울 강남구 학동로 335,02-511-0456
1903867,남해창선점,경남 남해군 창선면 대벽리 15,010-4559-6193
1903849,인천공항세인물류센터점,인천광역시 중구 자유무역로 25 (운서동),070-4353-1620
1903812,세종신흥점,세종특별자치시 조치원읍 신흥리 166-11,044-866-4731
1903850,인천영종운서점,인천광역시 중구 햇내로28번길 10,032-746-7040
1903818,내포신도시점,충청남도 홍성군 홍북읍 홍학로 91 (내포마트) 1층 투썸플레이스,041-631-8830
1903786,판교봇들마을점,경기 성남시 분당구 삼평동 721 스타식스코아 1층 101~103호,０３１-７０２-２１２０
1903833,청주산남중앙점,충청북도 청주시 서원구 산미로 95 (산남동) 투썸플레이스,043-283-2830
1903886,인천계양구청점,인천광역시 계양구 계산동 1081-9,032-272-1704
1903821,대구시지욱수천점,대구 수성구 신매동 88-5,053-793-0022
1903863,군위서부네거리점,대구광역시 군위군 군위읍 도군로 2708 1층,054-382-2323
1903827,광주상무메이루즈점,"광주광역시 서구 시청로 27, 1층 129호",062-371-3583
1903822,광주운천호수공원점,광주광역시 서구 마륵복개로 149,062-382-2200
1903734,인천효성점,"인천광역시 계양구 새벌로 112, 1층 108호 (효성동, 마스터즈)",032-556-1000
1903826,서정리역점,"경기도 평택시 정암로 31 (이충동, 평택고덕코아루더블루시티) 101,102,103호",031-665-2243
1903829,신림녹두거리점,서울 관악구 신림로 127,02-877-2525
1903785,명동역점,"서울특별시 중구 퇴계로 108 (회현동3가, 세대빌딩) 1층 투썸플레이스",02-6953-7307
1903787,보라매역점,"서울특별시 영등포구 여의대방로 145 (신길동, 세인트빌딩)",02-6953-2160
1903765,안산각골공원점,경기도 안산시 상록구 각골로 63 (본오동) 1층,031-418-8999
1903398,광주상무천변점,광주광역시 서구 내방로 11 (치평동) (치평동 1002),062-372-0310
1903720,대구대곡역점,"대구광역시 달성군 화원읍 비슬로 2685 1,2층 투썸플레이스",053-633-2323
1903783,수원덕산병원점,경기도 수원시 권선구 서부로 1664 (고색동) 수원덕산병원 지하 1층,031-296-6602
1903706,부안격포점,전북특별자치도 부안군 변산면 변산해변로 147 (부안 격포리 113),063-583-3002
1903726,부천옥길점,"경기도 부천시 옥길로 110-11, 1층 104,105,106,107호(옥길동)",032-346-3222
1903591,울산태화루점,울산 중구 태화로 287,052-248-5720
1903770,울산송정점,"울산광역시 북구 박상진11로 1 (송정동, 인터메디타워) 1층",052-710-3197
1903713,울산삼산본동점,울산광역시 남구 남중로 100 (삼산동) 1층,052-977-7770
1903825,인천검단법원점,"인천광역시 서구 서로3로 106 (당하동) 106, 107, 202, 203호",032-710-2774
1903824,마산합성산호천점,"경상남도 창원시 마산회원구 양덕옛3길 37 (합성동, 마산학원) 1층",055-294-9794
1903834,덕양푸른마을점,고양시 덕양구 푸른마을로 34-11,031-966-5988
1903771,용인신갈DI점,경기도 용인시 기흥구 중부대로 248 (영덕동) 투썸플레이스,031-282-6573
1903780,순천향대학교서울병원점,"서울특별시 용산구 대사관로 59 (한남동, 순천향대학병원) 본관 1층",010-4485-2005
1903760,인천삼산사거리점,"인천광역시 부평구 평천로 398 (삼산동, 에스엠 메디칼 프라자) 103, 104, 105호",032-511-9878
1903687,지제영신점,"경기도 평택시 영신2길 87 (세교동, 영신빌딩) 1층",031-652-8870
1903717,아산모종점,충남 아산시 모종남로42번길 9,041-547-3257
1903743,함안휴게소(순천)점,경상남도 함안군 군북면 현포로 205-1 (함안휴게소 순천방향) 함안휴게소 순천방향 투썸플레이스,055-582-5470
1903556,음성성본DI점,충북 음성군 대소면 성본리 907 투썸플레이스,043-750-7970
1903732,파인애비뉴점,서울 중구 을지로100,02-6031-0029
1903692,영등포문래점,"서울특별시 영등포구 선유로 70 (문래동3가, 우리벤처타운2) 106호",070-7625-0105
1903709,분당수내점,"경기도 성남시 분당구 황새울로258번길 31 (수내동,분당예미지빌딩) 1층 투썸플레이스",031-715-9207
1903729,고양향동점,경기도 고양시 덕양구 꽃내음1길 180 (향동동),02-3159-3344
1903663,광명사거리역점,경기 광명시 광명로 896,02-2615-1928
1903696,용인강남대역점,"경기도 용인시 기흥구 중부대로 563 (구갈동, 사훈프라자) 103호104호",031-8005-5556
1903766,아산신용화점,"충청남도 아산시 어의정로 93, 1층",041-531-5007
1903554,한티점,서울특별시 강남구 선릉로 338 (대치동) 1층~2층,02-6953-1250
1903608,덕유산휴게소(대전)점,전북특별자치도 무주군 안성면 통영대전고속도로 148 (덕유산고속도로휴게소) 대전방향,063-353-4200
1903609,덕유산휴게소(통영)점,전북특별자치도 장수군 계북면 통영대전고속도로 147 (덕유산휴게소) 통영방향,063-353-5100
1903704,천안신불당파크점,"충청남도 천안시 서북구 불당34길 25-2 (불당동) 1, 2층",041-566-4410
1903666,광주고산점,경기도 광주시 태봉로 226-18 (고산동) 1층,031-765-5366
1903667,양재전화국사거리점,"서울특별시 서초구 논현로 167 (양재동, 해산빌딩) 1층, 2층",02-2088-0863
1903693,김포걸포점,경기도 김포시 걸포2로 33 (걸포동) 2층,031-997-1511
1903686,평택청북점,"경기도 평택시 청북읍 청북남로 260, 109,209호(한샘쇼핑센터)",031-681-2225
1903443,양주덕계역점,경기도 양주시 덕계로 148 (덕계동) 1~2층,031-866-5333
1903659,부천중동역점,경기도 부천시 부일로 322 (중동) 2층,032-614-0045
1903699,부천역로데오점,경기 부천시 원미구 부일로 454,032-657-7955
1903642,다산신도시점,경기도 남양주시 다산중앙로 117 (다산동) 인강E타워 1층,031-553-2356
1903682,오류역점,"서울 구로구 경인로 199-2, 2,3층(오류동)",02-2613-2244
1903656,연신내엘피스점,"서울특별시 은평구 통일로 829 (대조동, 연신엘피스) 1, 2층",02-383-5925
1903671,대구영대병원역점,대구 남구 대명로 291,053-657-0887
1903690,공주동학사점,충남 공주시 반포면 학봉리 716-1,042-825-4195
1903573,고창고인돌휴게소(서울)점,전북특별자치도 고창군 고창읍 서해안고속도로 80 고창고인돌휴게소 서울방향,063-561-6323
1903574,고창고인돌휴게소(목포)점,전북특별자치도 고창군 신림면 서해안고속도로 81 (고창고인돌휴게소) 고창고인돌휴게소 목포방향,063-561-6313
1903657,천안북일점,충남 천안시 서북구 두정동 43-8,041-415-0175
1903630,증미역점,"서울특별시 강서구 양천로 583 (염창동, 우림블루나인비즈니스센터) A동 110호",050-71358-5603
1903593,신림서원역점,"서울특별시 관악구 신림로 247 (신림동, 동서리치) 1층",02-6085-7878
1903627,마곡코엑스점,"서울특별시 강서구 마곡중앙로 143 (마곡동, 르웨스트시티) B동 1층 #6, #7",02-2261-6780
1903401,인천효성풍경채점,"인천광역시 계양구 마장로544번길 10 (효성동) 제일풍경채계양위너스카이 A2 102, 103, 104, 111호",032-247-2580
1903613,가산대성디폴리스점,"서울특별시 금천구 서부샛길 606 (가산동,대성디폴리스지식산업센터) 101,104호",02-861-8070
1903643,서대전역점,대전광역시 중구 오류로 13-10 (오류동) 서대전역코아루써밋 102호~105호,042-533-0788
1903661,영덕휴게소점,경상북도 영덕군 남정면 동해대로 3580 영덕휴게소,000-000-0000
1903662,포항휴게소점,경상북도 포항시 북구 송라면 지경리 산 21-1 포항휴게소,000-000-0000
1903564,투썸2.0안국,"서울특별시 종로구 율곡로 47 (안국동, 걸스카웃회관) 1-2층",02-538-2369
1903632,수원율전점,경기도 수원시 장안구 서부로 2161 (율전동) 2층,031-8067-6777
1903577,이천온천사거리점,경기 이천시 애련정로 99,031-636-1340
1903596,과천힐스테이트중앙점,경기 과천시 중앙동 38,02-507-2200
1903615,용인역북점,경기도 용인시 처인구 명지로60번길 8-10,031-323-0044
1903676,미아역점,"서울 강북구 솔매로 131, 1,2층(미아동)",02-945-3001
1903561,하남미사중앙점,"경기도 하남시 미사강변대로 38 (풍산동, 위너스프라자) 1층~2층",031-795-3990
1903618,청주오송생명과학단지점,"충청북도 청주시 흥덕구 오송읍 오송생명로 186 오송프라자 115호, 206호",043-235-0009
1903650,대구상인점,"대구광역시 달서구 월배로 202 (상인동) 1,2층",053-643-4959
1903571,부산해운대좌동점,"부산광역시 해운대구 좌동순환로 177 (좌동, 제일빌딩) 1층",051-714-3310
1903607,구로항동점,서울특별시 구로구 서해안로 2096 (항동),02-2625-0010
1903624,경주고속터미널점,경상북도 경주시 태종로699번길 3 (노서동) 1~2층,054-776-6579
1903579,제2판교테크노밸리점,"경기도 성남시 수정구 금토로80번길 22 (금토동, 트라이타워) 1층 투썸플레이스",031-698-3770
1903565,미아사거리역점,"서울특별시 강북구 도봉로 52 (미아동, 연이빌딩) 1층",02-6312-6400
1903631,죽전1동점,경기도 용인시 수지구 현암로 162 (죽전동) 1층,031-548-1955
1903566,강릉중앙점,강원도 강릉시 금성로56번길 13 (금학동),033-643-2366
1903575,인천도화힐스테이트점,"인천광역시 미추홀구 염전로168번길 15 (도화동) 110,111,112,113,114호",032-715-5800
1903483,청주공항국제선점,충청북도 청주시 청원구 내수읍 오창대로 980 (청주국제공항) 국제선 2층 격리구역 내,070-4154-9339
1903484,청주공항국내선점,충청북도 청주시 청원구 내수읍 오창대로 980 (청주국제공항) 국내선 2층 격리구역 내,070-4154-9338
1903562,양평용문점,경기 양평군 용문면 다문리 688-6,031-771-0456
1903570,원주혁신H타워점,강원도 원주시 혁신로 19 (반곡동) 강원도 원주시 혁신로 19,033-733-6888
1903576,인천검암점,인천광역시 서구 승학로 508,032-674-7300
1903581,부산용호더블유스퀘어점,"부산광역시 남구 분포로 145 (용호동, 더블유) 1037~1040호",051-622-2377
1903599,부산대정문점,부산광역시 금정구 금강로 260-2 (장전동) 투썸플레이스 부산대정문점,051-514-6366
1903530,안산고잔점,경기도 안산시 단원구 고잔1길 7,031-410-0055
1903584,부천소새울역점,경기 부천시 소사로 124,032-342-7003
